# Phase 4a catalog of every legacy alias #define'd in the four pre-SSOT
# compat sources. Input to gen_errors_compat.py. Each row lists the legacy
# spelling, where it currently lives, and the canonical errors.tsv name
# the generator will point the alias at post-cutover.
#
# This file is an INPUT to the generator (like errors.tsv), not an output.
# It is hand-maintained; only edit when mining a new legacy source or when
# a human has approved a semantic re-targeting.
#
# Rows preceded by "# CHANGED:" flag an intentional mapping change from
# the pre-SSOT target. Reason is appended to the comment line.
#
# Symbols that are now CANONICAL enum members in data/errors.tsv
# (VERIFY_FAIL, WRITE_PROTECT, PROTECTION, ENCODING, SYNC_LOST, WEAK_BITS,
# TIMING, ID_MISMATCH, DELETED_DATA, MISSING_SECTOR, INCOMPLETE,
# PLL_UNLOCK, WRITE_FAULT, TRACK_OVERFLOW, COPY_DENIED, LONG_TRACK,
# NON_STANDARD, VERSION, CANCELLED, INVALID_STATE, UNKNOWN_FORMAT,
# FILE_OPEN, FILE_READ, FILE_WRITE, FILE_SEEK, FORMAT_INVALID, FILE_CREATE,
# PLUGIN_LOAD, PLUGIN_NOT_FOUND) are NOT listed below — their UFT_ERR_
# spelling is the enum name, and the UFT_ERROR_* mixed-case spelling is
# emitted by the main compat loop in gen_errors_compat.py.
#
# Columns (tab-separated):
#   symbol_name  current_target  source_file  proposed_canonical
#
# symbol_name   — exact legacy #define name (including prefix)
# current_target — what the pre-SSOT header expands to (enum member,
#                  _UFTEC_*, numeric literal, or other alias)
# source_file   — short tag: err_h | compat_h | codes_h | unified_h
# proposed_canonical — name from data/errors.tsv that the generator
#                      will expand the alias to

# === UFT_ERR_* legacy aliases (do NOT become canonical enum members) =====
# These are pure alias spellings. Nothing in here is a new enum value.

UFT_ERR_INVALID_PARAM	UFT_ERR_INVALID_ARG	err_h	INVALID_ARG
UFT_ERR_STATE	UFT_ERR_INVALID_ARG	err_h	INVALID_ARG
UFT_ERR_NULL_PTR	UFT_ERR_INVALID_ARG	err_h	NULL_POINTER
# CHANGED: UFT_ERR_NULL_PTR was → INVALID_ARG; NULL_POINTER exists as distinct canonical (86 call sites) so retarget for better diagnostics.
UFT_ERR_BOUNDS	UFT_ERR_INVALID_ARG	err_h	INVALID_ARG
UFT_ERR_VERIFY	UFT_ERR_CRC	err_h	CRC
UFT_ERR_UNSUPPORTED	UFT_ERR_NOT_SUPPORTED	err_h	NOT_SUPPORTED
UFT_ERR_NOMEM	UFT_ERR_MEMORY	err_h	MEMORY
UFT_ERR_NOT_FOUND	UFT_ERR_FILE_NOT_FOUND	err_h	FILE_NOT_FOUND
UFT_ERR_CORRUPT	_UFTEC_CORRUPT(-208)	compat_h	CORRUPTED
UFT_ERR_NOT_IMPL	_UFTEC_NOTIMPL(-5)	compat_h	NOT_IMPLEMENTED
UFT_ERR_LIMIT	_UFTEC_MEM(-500)	compat_h	MEMORY
UFT_ERR_INVALID_PARAM_VALUE	_UFTEC_INVAL(-2)	compat_h	INVALID_ARG
UFT_ERC_FORMAT	_UFTEC_CORRUPT(-208)	compat_h	FORMAT
# CHANGED: UFT_ERC_FORMAT is a typo spelling of UFT_ERR_FORMAT; compat had it mapped to CORRUPT, but the non-typo canonical is FORMAT. Retarget.
UFT_ERR_OUT_OF_MEMORY	UFT_ERR_MEMORY	unified_h	MEMORY
UFT_ERR_FORMAT_ERROR	UFT_ERR_FORMAT	unified_h	FORMAT
UFT_ERR_CRC_ERROR	UFT_ERR_CRC	unified_h	CRC
UFT_ERR_IO_ERROR	UFT_ERR_IO	unified_h	IO
UFT_ERR_NO_DATA	UFT_ERR_CORRUPTED	unified_h	MISSING_SECTOR
# CHANGED: UFT_ERR_NO_DATA was → CORRUPTED (unified_h) / FORMAT (UFT_ERROR_NO_DATA in err_h). Approved semantic fix: MISSING_SECTOR reflects the "sector header says data-of-length-N but no data found" forensics meaning.
UFT_ERR_OK	UFT_OK	codes_h	SUCCESS
UFT_ERR_NO_MEMORY	UFT_ERR_MEMORY	compat_gen	MEMORY
